"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01-Mar-2025","1","101.38","100.50","0.22","-0.280","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","2","99.91","99.84","0.13","-0.990","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","3","100.09","99.84","0.10","-0.790","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","4","97.79","97.36","0.10","-0.610","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","5","96.74","96.79","0.10","-1.090","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","6","94.11","94.22","0.10","-1.150","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","7","91.92","91.85","0.10","-0.970","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","8","90.53","91.19","0.10","-1.690","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","9","90.10","89.73","0.10","-0.670","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","10","92.36","91.83","0.10","-0.510","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","11","97.26","96.77","0.11","-0.560","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","12","99.51","98.67","0.17","-0.270","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","13","100.97","99.82","0.36","-0.140","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","14","102.11","100.38","0.43","0.360","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","15","102.02","100.38","0.72","-0.020","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","16","102.58","100.89","0.71","0.040","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","17","119.56","118.17","0.69","-0.240","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","18","125.51","124.21","0.87","-0.510","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","19","110.14","108.53","0.48","0.190","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","20","102.33","101.10","0.41","-0.120","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","21","101.49","100.72","0.29","-0.450","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","22","100.68","100.38","0.29","-0.930","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","23","99.61","99.76","0.28","-1.370","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","24","98.51","99.79","0.15","-2.370","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","25","99.83","100.70","0.21","-2.010","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","26","100.69","100.59","0.21","-1.050","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","27","100.62","99.77","0.20","-0.290","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","28","100.33","99.78","0.19","-0.580","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","29","93.08","93.30","0.14","-1.300","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","30","93.41","93.71","0.13","-1.370","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","31","96.30","96.76","0.13","-1.530","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","32","91.74","93.32","0.16","-2.670","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","33","92.67","94.13","0.13","-2.520","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","34","97.48","98.81","0.16","-2.430","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","35","101.18","100.88","0.73","-1.370","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","36","101.43","101.53","0.28","-1.310","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","37","109.17","109.30","0.36","-1.430","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","38","100.20","101.07","0.41","-2.220","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","39","128.44","128.87","0.60","-1.970","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","40","124.29","124.86","0.52","-2.030","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","41","129.46","130.34","0.36","-2.180","0.00","0.20","0.3686","0.0394","0.3309"
"WEP","01-Mar-2025","42","146.85","147.72","0.52","-2.330","0.00","0.20","0.3686","0.0394","0.3309"
